"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ST72",4.93406152694947e-06,2.30976391145695,0.205,0.315,0.0148021845808484,"14","ST7"
"ACSL12",5.50449613133649e-06,0.862140090200904,0.59,0.438,0.0165134883940095,"14","ACSL1"
"VAV3",5.92342373964011e-06,0.752469246966574,0.346,0.212,0.0177702712189203,"14","VAV3"
"SLC1A12",6.3276203676358e-06,4.49247534727743,0.327,0.3,0.0189828611029074,"14","SLC1A1"
"ARMCX32",6.57627851913081e-06,1.55966787044013,0.641,0.447,0.0197288355573924,"14","ARMCX3"
"DAPK22",6.63745186669002e-06,2.82201082164134,0.372,0.29,0.0199123556000701,"14","DAPK2"
"SMIM142",6.83844570188334e-06,1.36377322685097,0.577,0.432,0.02051533710565,"14","SMIM14"
"ABCC11",6.99783673353191e-06,5.1928424078297,0.571,0.423,0.0209935102005957,"14","ABCC1"
"SEPTIN11",7.30268768390175e-06,1.32195025629838,0.583,0.425,0.0219080630517053,"14","SEPTIN11"
"ENSG000002861632",7.51709917353515e-06,2.77211699331165,0.404,0.265,0.0225512975206055,"14","ENSG00000286163"
"ZNF6094",8.60385001173684e-06,2.35235026845477,0.558,0.398,0.0258115500352105,"14","ZNF609"
"MBD53",8.7137910326077e-06,2.47051211421322,0.551,0.429,0.0261413730978231,"14","MBD5"
"MAPK101",9.19703017700015e-06,1.22334293178869,0.372,0.166,0.0275910905310005,"14","MAPK10"
"TMEM1383",9.54210628431054e-06,5.09995630607999,0.462,0.273,0.0286263188529316,"14","TMEM138"
"ARHGEF26-AS11",1.38098050763168e-05,0.792187637540742,0.442,0.305,0.0414294152289503,"14","ARHGEF26-AS1"
"COMTD17",1.47782156365953e-05,1.16572687274216,0.564,0.403,0.0443346469097859,"14","COMTD1"
"SPATS23",1.60906827091932e-05,2.08368946572835,0.596,0.443,0.0482720481275795,"14","SPATS2"
"NIPAL34",1.84874974671618e-05,0.671656425936032,0.455,0.348,0.0554624924014855,"14","NIPAL3"
